mall_name,store_name,category,floor,contact_number,store_hours,description
Solana Mall,Uniqlo,Fashion & Apparel,2F,+63 2 8123 4567,10:00-21:00,Japanese casual wear brand offering affordable and functional clothing for men women and children
Solana Mall,Samsung Experience Store,Electronics,1F,+63 2 8123 4568,10:00-21:00,Official Samsung store showcasing latest smartphones tablets and smart home devices
Solana Mall,Fully Booked,Books & Stationery,3F,+63 2 8123 4569,10:00-21:00,Leading bookstore chain with wide selection of books gifts and stationery items
Solana Mall,Starbucks,Food & Beverage,GF,+63 2 8123 4570,07:00-22:00,Premium coffee shop offering handcrafted beverages and light meals
Solana Mall,Watsons,Health & Beauty,1F,+63 2 8123 4571,10:00-21:00,Health and beauty retail chain with pharmacy services and personal care products
Solana Mall,Power Mac Center,Electronics,2F,+63 2 8123 4572,10:00-21:00,Authorized Apple reseller offering iPhones iPads Macs and accessories
Parkview Shopping Center,Fresh Market,Grocery,GF,+63 2 8234 5678,09:00-21:00,Premium supermarket offering fresh produce imported goods and gourmet items
Parkview Shopping Center,The Shoemaker,Fashion & Apparel,1F,+63 2 8234 5679,10:00-20:00,Local shoe brand specializing in handcrafted leather shoes and accessories
Parkview Shopping Center,Timezone,Entertainment,3F,+63 2 8234 5680,10:00-21:00,Family entertainment center with arcade games rides and attractions
Parkview Shopping Center,Metro Bank Branch,Banking & Services,GF,+63 2 8234 5681,09:00-16:00,Full-service bank branch offering savings accounts loans and remittance services
Parkview Shopping Center,Mercury Drug,Health & Beauty,1F,+63 2 8234 5682,08:00-21:00,Largest pharmacy chain with wide range of medicines and health products
Mercado Village,Petland,Pets,GF,+63 2 8345 6789,09:00-20:00,One-stop pet shop offering pets pet food accessories grooming and veterinary services
Mercado Village,Art Circle Gallery,Arts & Crafts,2F,+63 2 8345 6790,10:00-19:00,Gallery showcasing contemporary art paintings sculptures and installations
Mercado Village,Gourmet Market,Food & Beverage,GF,+63 2 8345 6791,08:00-21:00,Specialty food market featuring local and imported gourmet products
Mercado Village,Home Inspirations,Home & Living,1F,+63 2 8345 6792,10:00-20:00,Curated home decor and furniture store with artisan products
The Atrium,Wildflour Cafe,Food & Beverage,GF,+63 2 8456 7890,07:00-22:00,Popular restaurant and bakery known for pastries brunch items and Mediterranean cuisine
The Atrium,The Spa Wellness Center,Health & Beauty,2F,+63 2 8456 7891,10:00-21:00,Premium spa offering massage facial treatments and wellness packages
The Atrium,Sunnies Studios,Fashion & Apparel,1F,+63 2 8456 7892,10:00-21:00,Trendy eyewear brand offering affordable stylish sunglasses and optical frames
