mall_name,event_name,start_date,end_date,location_in_mall,description
Solana Mall,Weekend Jazz Night,2026-03-07,2026-03-08,Ground Floor Atrium,Live jazz performances by local artists every weekend from 6PM to 9PM. Free admission for all mall visitors.
Solana Mall,Summer Kids Camp,2026-04-01,2026-04-30,3rd Floor Activity Area,Month-long arts and crafts workshops for kids ages 5-12. Registration fee of PHP 500 per session includes materials.
Solana Mall,Tech Gadget Fair,2026-03-15,2026-03-22,2nd Floor Event Hall,Showcase of latest tech gadgets with exclusive mall discounts up to 30% off on selected electronics brands.
Parkview Shopping Center,Pearl Festival 2026,2026-03-20,2026-03-29,Main Atrium Ground Floor,Annual pearl festival featuring South Sea pearls and freshwater pearl jewelry at special prices direct from pearl farms.
Parkview Shopping Center,Filipino Food Bazaar,2026-04-05,2026-04-12,Food Court Extension,Curated food fair showcasing regional dishes from across the country with cooking demonstrations.
Parkview Shopping Center,Vintage Vinyl Market,2026-03-14,2026-03-15,Promenade Hall,Pop-up market for vinyl record collectors featuring rare finds from the 60s to 90s plus live DJ sets.
Mercado Village,Pet Adoption Day,2026-03-21,2026-03-22,Main Activity Center,Partner event with local animal welfare groups featuring adoptable dogs and cats. Free basic vet checkup for first 50 adopters.
Mercado Village,Weekend Art Walk,2026-03-01,2026-05-31,Art District,Every Saturday guided art walks through galleries and open studios with featured artist talks at 2PM.
The Atrium,Wellness Weekend,2026-03-28,2026-03-29,Garden Atrium,Free yoga sessions meditation workshops and wellness talks. Complimentary health screenings available.
The Atrium,Spring Fashion Pop-Up,2026-04-10,2026-04-17,1st Floor Gallery Space,Curated collection from local designers showcasing sustainable and resort-ready fashion.
